,id,denv,ev,hav,hcv,rv,wang_229E,wang_OC43,wang_SARS_COV2,sch_229E,sch_OC43,sch_SARS_COV2_33C,sch_SARS_COV2_37C
149,ACLY,-5.6433,-4.6652,0.024488,-0.44546,-0.48064,0.022835,0.0067344,-1.3363,-2.3712,1.0779,1.3559,-1.3026
150,ACMSD,-5.0687,-4.0435,-0.11973,0.41091,0.084994,-0.18394,-0.2022,-1.601,0.37488,-1.2591,0.31948,-0.14543
151,ACO1,-4.6324,-4.987,-0.22353,0.78386,0.14688,-0.051637,-0.035358,-0.17059,0.18027,0.85767,0.20846,-0.010103
152,ACO2,-5.5925,-4.6072,-0.59161,-1.2236,-0.24717,-1.0387,-1.0738,-0.33331,-6.1266,1.8249,2.21,1.2267
153,ACOT1,-4.8732,-3.9899,0.17091,0.60471,-1.8915,-0.31173,0.10261,-0.22765,-0.65485,-0.58638,0.10979,-0.33881
154,ACOT11,-6.0549,-2.832,-0.13684,-0.44662,0.13845,0.035456,-0.19504,-0.94087,-0.9049,0.039347,0.021836,0.33025
155,ACOT12,-4.8561,-3.9601,0.14663,-0.52478,-1.4445,-0.15593,-0.4406,-0.32042,1.8679,0.23493,0.55845,0.51675
156,ACOT13,-5.664,-4.2751,-0.12883,0.77288,-0.21797,-0.23014,-0.090834,0.37629,-3.1435,0.26883,-0.18908,-0.39445
157,ACOT2,-5.1125,-4.4599,-0.25148,0.68741,-3.6324,-0.30798,0.0011943,-0.19849,0.38929,0.24624,0.12127,0.21977
158,ACOT4,-4.4056,-5.4287,0.23636,0.3999,0.37667,0.11484,-0.16376,-0.013206,0.0017721,-0.55596,0.50767,0.31434
159,ACOT6,-4.0302,-4.9249,-0.045176,0.28666,-1.048,0.51326,0.075385,-0.0031998,-1.0839,-0.31975,0.47996,-0.10353
160,ACOT7,-5.1108,-4.6126,-0.037852,-0.989,-0.56368,-0.19152,-0.076861,-1.0426,-4.2881,-0.46245,-0.32006,-0.0084
161,ACOT8,-5.0422,-4.0958,0.0098901,0.051347,-0.043253,-0.4405,0.30838,-0.46059,-1.2084,-0.60404,0.029853,0.12862
162,ACOT9,-5.4463,-5.9321,-0.2153,0.69812,0.72825,0.24659,-0.14425,0.65413,-8.2052,-0.80824,-0.1679,-0.052063
163,ACOX1,-4.6617,-3.1805,-0.37091,-0.13119,-1.9292,0.13164,0.22812,-1.1604,-3.3981,0.43981,0.30125,-0.14967
164,ACOX2,-4.9899,-5.0685,0.043971,-0.23612,0.84178,0.10767,0.16786,0.73841,0.20965,-0.57939,-0.32133,-0.11629
165,ACOX3,-4.4432,-1.5841,-0.23898,0.39213,1.255,0.1389,-0.35753,0.38114,0.16807,-0.72233,0.29442,0.42715
166,ACOXL,-5.8187,-5.0161,-0.4257,-0.23035,-0.87825,-0.62762,0.083368,-0.085797,-6.2695,0.0039374,-0.26645,-0.30667
167,ACP1,-4.5662,-3.7993,0.24634,0.13174,-0.7951,0.092802,-0.01467,-1.3753,0.41616,-0.4685,0.092125,-0.2581
168,ACP2,-4.8114,-3.6161,-0.27387,0.041226,-0.56349,0.12222,0.25065,-1.9751,-5.5877,-0.46322,0.14875,0.57704
169,ACP5,-5.096,-4.0088,-0.23204,0.27053,0.15812,-0.054517,0.16919,-0.86382,0.027102,-0.62928,-0.17608,-0.12917
170,ACP6,-4.6736,-4.989,0.098152,0.13152,0.4799,-0.15507,0.10347,-0.34486,-4.066,-0.82432,-0.37606,0.31987
171,ACPP,-4.1519,-3.5732,-0.25486,0.010447,-0.026728,-0.44586,-0.10114,-1.1843,-0.16334,0.16381,-0.17559,-0.056968
